"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,1.27881198560697,0.433,0.237,0,"CRYAB"
0,1.23225868033505,0.541,0.376,0,"MRPS6"
0,0.332020300377675,0.765,0.615,0,"FXYD2"
0,2.33552574038202,0.209,0.068,0,"AKR1C1"
0,0.673598551305282,0.755,0.615,0,"PEBP1"
0,1.49134211328612,0.394,0.255,0,"TACSTD2"
0,2.5061717508123,0.283,0.147,0,"AKR1B1"
0,0.722978763931071,0.657,0.523,0,"ENO1"
0,0.678916104137495,0.689,0.564,0,"S100A10"
0,0.660579493753475,0.755,0.632,0,"GSTP1"
0,0.668101646556419,0.504,0.383,0,"AIF1L"
0,0.725353379769083,0.566,0.445,0,"CD24"
0,0.677809482966194,0.488,0.368,0,"S100A13"
0,0.58127264266255,0.5,0.383,0,"MPC2"
0,0.590999293109242,0.454,0.337,0,"TUBB4B"
0,0.926725339898779,0.37,0.254,0,"S100A4"
0,0.851117034409365,0.461,0.346,0,"LDHA"
0,0.496655763419273,0.491,0.376,0,"SNHG8"
0,0.496144126484784,0.73,0.616,0,"PRDX1"
0,0.802112510263296,0.395,0.282,0,"KRT18"
0,0.590033756173068,0.452,0.342,0,"SNRPN"
0,0.528397703613895,0.649,0.54,0,"NME2"
0,0.758008249115463,0.543,0.435,0,"PKM"
0,0.393401824662885,0.682,0.575,0,"LDHB"
0,0.85333797946118,0.409,0.303,0,"SLC5A3"
0,0.560919005171827,0.462,0.357,0,"H2AFZ"
0,0.936533323925375,0.264,0.159,0,"LPIN2"
0,0.788383294427086,0.35,0.245,0,"CPVL"
0,0.617318914209577,0.474,0.369,0,"SPINT2"
0,0.474655101241097,0.667,0.563,0,"CYSTM1"
0,0.610940834529348,0.282,0.178,0,"NUPR1"
0,0.420597325545814,0.399,0.296,0,"OCIAD2"
0,0.611185274372469,0.414,0.311,0,"PAX8"
0,0.384149881209848,0.615,0.512,0,"NPM1"
0,0.391351682920237,0.567,0.465,0,"PRDX2"
0,0.348957862767801,0.686,0.586,0,"EEF1G"
0,0.410435292228539,0.549,0.449,0,"PARK7"
0,1.20236554383588,0.243,0.143,0,"HSPA2"
0,0.877450444879372,0.409,0.309,0,"PTGR1"
0,0.315271465316331,0.839,0.739,0,"RPS4X"
0,0.441940690715212,0.732,0.633,0,"MYL12B"
0,0.40912761770034,0.878,0.779,0,"RPL3"
0,0.647606735710616,0.341,0.243,0,"PPP1R14B"
0,0.389527129487668,0.496,0.398,0,"VAMP8"
0,0.261590954100051,0.786,0.689,0,"NACA"
0,0.422848738987449,0.539,0.442,0,"LAMTOR5"
0,0.32619063675326,0.742,0.645,0,"RPS2"
0,0.421816236315684,0.842,0.745,0,"RPS9"
0,0.366008625708494,0.577,0.48,0,"DYNLRB1"
0,0.358367228657543,0.659,0.563,0,"RPSA"
0,0.266847175408007,0.55,0.454,0,"ATP6V1F"
0,0.364528364120727,0.632,0.536,0,"BTF3"
0,0.338126981908654,0.645,0.549,0,"RPL36AL"
0,0.523711848681693,0.485,0.389,0,"COX5A"
0,0.4193383729197,0.432,0.336,0,"PSMB6"
0,0.532033203214636,0.367,0.271,0,"PDXK"
0,0.31956327193907,0.67,0.576,0,"EDF1"
0,0.80132131148999,0.268,0.174,0,"RAB17"
0,0.585949325012568,0.31,0.216,0,"TNFSF10"
0,0.547171528697885,0.49,0.396,0,"EPCAM"
0,0.992652561084917,0.296,0.202,0,"PERP"
0,0.310652560701077,0.58,0.486,0,"BRI3"
0,0.428813085161559,0.456,0.363,0,"LEPROT"
0,0.641493751299941,0.396,0.303,0,"BAG1"
0,0.621907222500044,0.337,0.244,0,"PRXL2A"
0,0.450510482154594,0.396,0.303,0,"RPS19BP1"
0,1.28921725446257,0.177,0.084,0,"RANBP3L"
0,0.339357610166183,0.764,0.671,0,"RACK1"
0,0.380710169577684,0.555,0.463,0,"DBI"
0,0.37430779316445,0.5,0.408,0,"ARPC3"
0,0.594644324158575,0.342,0.25,0,"PSMB5"
0,0.522864992767605,0.381,0.289,0,"CTSH"
0,0.489553379597763,0.457,0.366,0,"UQCRFS1"
0,0.51242607170368,0.433,0.342,0,"REEP5"
0,0.36605473495748,0.653,0.563,0,"SUMO2"
0,0.373562527815834,0.467,0.377,0,"TSTD1"
0,0.321081069328438,0.593,0.503,0,"PRDX5"
0,0.458355183207765,0.565,0.475,0,"DAD1"
0,0.370976677406776,0.49,0.4,0,"NDUFV2"
0,0.519435643334761,0.405,0.316,0,"VDAC2"
0,0.632560786853413,0.403,0.314,0,"ANXA2"
0,0.413814997576091,0.598,0.509,0,"MYL12A"
0,1.07728934277777,0.271,0.183,0,"SCCPDH"
0,0.453994934037444,0.443,0.355,0,"MRPS24"
0,0.384874247690362,0.443,0.355,0,"COX14"
0,0.613653259194978,0.318,0.23,0,"IGFBP2"
0,0.26534414484949,0.259,0.171,0,"AQP1"
0,1.06914025635285,0.184,0.096,0,"SERPINA1"
0,0.668687091345713,0.418,0.33,0,"GSTM3"
0,0.282531736562947,0.592,0.504,0,"EEF1B2"
0,0.397927040803235,0.4,0.313,0,"KDELR1"
0,0.630575496308248,0.387,0.3,0,"COMT"
0,0.617060815629821,0.312,0.225,0,"EPS8L2"
0,0.32185474438246,0.592,0.505,0,"SLC25A6"
0,0.349637238166631,0.505,0.419,0,"AURKAIP1"
0,0.55594953794779,0.37,0.284,0,"RAB13"
0,0.29087735336856,0.497,0.411,0,"TOMM20"
0,0.388866821005705,0.468,0.382,0,"SRSF9"
0,0.308194310043994,0.551,0.465,0,"NDUFB11"
0,0.903991382867113,0.24,0.154,0,"PFKFB3"
0,0.40819301948436,0.32,0.234,0,"ACAA2"
0,0.305960837040064,0.631,0.545,0,"UQCRH"
0,0.294134706548533,0.472,0.386,0,"TPM1"
0,0.471369467280237,0.439,0.354,0,"TMEM14C"
0,0.535318451984151,0.263,0.178,0,"NINJ1"
0,0.522548630398627,0.392,0.307,0,"SLC38A2"
0,0.491179936822276,0.268,0.183,0,"CARHSP1"
0,0.274120742053184,0.84,0.755,0,"RPS6"
0,0.264532962218534,0.624,0.539,0,"PTMS"
0,0.404261416192057,0.352,0.267,0,"IER3IP1"
0,0.299826568852481,0.584,0.499,0,"EIF3K"
0,0.311500540675308,0.681,0.597,0,"MGST3"
0,0.498452328779413,0.39,0.306,0,"LRPAP1"
0,0.361955094620669,0.52,0.436,0,"CLTA"
0,0.695295234282829,0.312,0.228,0,"PAX2"
0,1.07404800533389,0.211,0.127,0,"ARG2"
0,0.287745562720796,0.84,0.756,0,"RPL7A"
0,0.368579029776035,0.389,0.306,0,"CNDP2"
0,0.381005891790332,0.543,0.46,0,"CSTB"
0,1.59748372789838,0.141,0.058,0,"SLC6A12"
0,0.342000240023852,0.567,0.484,0,"NDUFB4"
0,0.36854050328791,0.411,0.328,0,"PRELID1"
0,0.281419535224149,0.555,0.473,0,"NDUFB8"
0,0.92244368847325,0.227,0.145,0,"HIST1H1C"
0,0.711001617033075,0.325,0.243,0,"MAL2"
0,0.420492226489342,0.417,0.335,0,"ZFAS1"
0,0.413902136974685,0.427,0.346,0,"ATRAID"
0,1.06427150629207,0.188,0.107,0,"CPE"
0,1.13116525427528,0.184,0.103,0,"TNFRSF12A"
0,3.09072874014848,0.105,0.024,0,"DDIT4L"
0,0.271132357184499,0.58,0.499,0,"FIS1"
0,0.355691976193042,0.411,0.33,0,"GADD45GIP1"
0,0.412078563077316,0.645,0.565,0,"S100A11"
0,0.421559185920297,0.682,0.602,0,"COX6A1"
0,0.334389742606967,0.508,0.428,0,"NDUFB3"
0,0.313421634373981,0.488,0.408,0,"PSMB1"
0,0.40162403560466,0.373,0.293,0,"HINT2"
0,0.295613260631146,0.546,0.466,0,"NDUFB10"
0,0.410929138322408,0.382,0.302,0,"ECH1"
0,0.265656835219548,0.701,0.621,0,"RPS16"
0,0.343361842461255,0.277,0.198,0,"PDZK1"
0,0.36226195767126,0.383,0.304,0,"MRPS36"
0,0.357533772284509,0.514,0.435,0,"PPIB"
0,0.765474076085253,0.246,0.167,0,"ITGB1BP1"
0,0.289175052994742,0.695,0.616,0,"CHCHD2"
0,0.429796211234757,0.356,0.277,0,"TALDO1"
0,0.301634843540193,0.477,0.398,0,"NDUFAB1"
0,0.337347572181497,0.42,0.341,0,"PHB"
0,0.288106311053387,0.471,0.392,0,"C19orf53"
0,0.296016910223601,0.594,0.515,0,"BEX3"
0,0.260845729085734,0.541,0.463,0,"MZT2B"
0,0.269400900846788,0.493,0.415,0,"VPS28"
0,0.328393436827627,0.393,0.315,0,"GLRX5"
0,-0.346323893058418,0.267,0.189,0,"SLC12A1"
0,0.450034896511829,0.329,0.251,0,"MRPS26"
0,1.53328256891823,0.181,0.103,0,"PPP1R1A"
0,0.254316753247541,0.739,0.661,0,"RPL10A"
0,0.312381193261131,0.844,0.766,0,"RPL8"
0,0.293409948323503,0.864,0.786,0,"RPL19"
0,0.299443268084886,0.676,0.599,0,"UBC"
0,0.296532237975081,0.443,0.366,0,"MRPL51"
0,0.276677893504218,0.538,0.461,0,"SAP18"
0,0.327246964154915,0.428,0.351,0,"KRT10"
0,0.509502856622453,0.273,0.196,0,"MYDGF"
0,0.453223355668115,0.29,0.213,0,"TEX264"
0,0.278758017693177,0.576,0.499,0,"GNG5"
0,0.252864873566402,0.609,0.532,0,"HNRNPA1"
0,0.894702117410145,0.202,0.126,0,"SOD3"
0,0.558182613846425,0.269,0.193,0,"LINC02532"
0,0.268226595735885,0.538,0.462,0,"SEC61B"
0,0.267413123069084,0.466,0.39,0,"NDUFS8"
0,0.401380644494998,0.254,0.178,0,"SHMT1"
0,0.280724813093129,0.445,0.369,0,"TRAPPC5"
0,0.406376006390798,0.377,0.301,0,"PSMD8"
0,0.2581923434608,0.459,0.383,0,"SCAND1"
0,0.289989702093612,0.821,0.745,0,"RPL29"
0,0.26492911632939,0.711,0.635,0,"HINT1"
0,0.302768401228053,0.554,0.479,0,"WDR83OS"
0,0.409830916893811,0.426,0.351,0,"PCBD1"
0,0.361951880474399,0.424,0.349,0,"ERP29"
0,0.477726595251978,0.254,0.179,0,"ISOC2"
0,0.32304351518611,0.401,0.326,0,"SMIM26"
0,0.380359018999785,0.302,0.227,0,"HAGH"
0,0.505690351355695,0.298,0.223,0,"MRPL40"
0,0.332218076802305,0.41,0.335,0,"MDH1"
0,0.361437221657291,0.762,0.687,0,"GAPDH"
0,0.290894584286215,0.581,0.506,0,"TPI1"
0,0.28843851460561,0.611,0.536,0,"NDUFB7"
0,0.262738824400756,0.669,0.595,0,"ATP5PF"
0,0.28785527305456,0.42,0.346,0,"DYNLT1"
0,0.297407180645518,0.51,0.436,0,"NDUFB9"
0,0.37050787185456,0.406,0.332,0,"ALDH1A1"
0,0.489557012001899,0.315,0.241,0,"MYL6B"
0,0.341937684755581,0.429,0.355,0,"RAN"
0,0.291179074879634,0.536,0.462,0,"GABARAPL2"
0,0.3330313919231,0.339,0.265,0,"EIF6"
0,0.436248804082733,0.293,0.219,0,"SURF1"
0,0.522370296508349,0.281,0.208,0,"EMC6"
0,0.541338553662099,0.309,0.236,0,"SLC25A4"
0,0.485678814706474,0.519,0.446,0,"CLU"
0,0.455640356783129,0.335,0.262,0,"NDUFA8"
0,0.276199713888164,0.535,0.462,0,"NEDD8"
0,0.518081544796163,0.3,0.227,0,"HEBP1"
0,0.287981222997938,0.413,0.34,0,"ARL2"
0,0.336493439204424,0.469,0.396,0,"ATP5PO"
0,0.650134257227903,0.281,0.209,0,"AQP2"
0,0.347083584904355,0.356,0.284,0,"SSU72"
0,0.285350731559923,0.401,0.329,0,"BRK1"
0,0.266757708415288,0.514,0.442,0,"PHPT1"
0,0.267300989364067,0.527,0.455,0,"ATP5F1C"
0,0.313327660642222,0.417,0.345,0,"APRT"
0,0.253031995848443,0.362,0.29,0,"TMEM160"
0,0.310490000441372,0.522,0.45,0,"SLC25A5"
0,0.407444742633317,0.289,0.217,0,"TMED9"
0,0.482697012521704,0.204,0.132,0,"AKR1C3"
0,0.398277128840845,0.293,0.221,0,"MCRIP2"
0,0.316594687048654,0.732,0.66,0,"COX5B"
0,0.273597033136884,0.472,0.4,0,"PNKD"
0,0.288895058024562,0.597,0.525,0,"ATP6V0E1"
0,0.268350193132405,0.477,0.405,0,"PSMA7"
0,0.250199786160596,0.889,0.818,0,"TPT1"
0,0.267805659301962,0.793,0.722,0,"SRP14"
0,0.269092787099945,0.672,0.601,0,"ATP5F1D"
0,0.333945705538476,0.375,0.304,0,"SSR2"
0,0.554861168434302,0.25,0.179,0,"MRPL36"
0,0.331254959020377,0.442,0.371,0,"HIST1H4C"
0,0.334322537537517,0.416,0.345,0,"CYCS"
0,0.433554709380008,0.463,0.392,0,"ASAH1"
0,0.364203243753882,0.342,0.271,0,"BNIP3"
0,0.255759462431285,0.493,0.422,0,"ATP5PD"
0,0.255467856070925,0.42,0.349,0,"ALKBH7"
0,0.415173270077843,0.369,0.298,0,"MRPL34"
0,0.298034180214257,0.429,0.358,0,"ETFB"
0,0.287616792727723,0.355,0.284,0,"UXT"
0,0.316697937002868,0.473,0.402,0,"TRIR"
0,0.308398041557785,0.658,0.588,0,"ATP5MC3"
0,0.261103523957106,0.812,0.742,0,"RPL17"
0,0.317237659194396,0.334,0.264,0,"C1orf43"
0,0.286135837486103,0.461,0.391,0,"MPC1"
0,0.765120665668999,0.226,0.156,0,"CLDN3"
0,0.304192962645977,0.508,0.438,0,"NDUFA5"
0,0.258748515079714,0.406,0.336,0,"CHMP5"
0,0.336603034025641,0.398,0.328,0,"ANAPC11"
0,0.254113930420154,0.829,0.759,0,"RPS7"
0,0.320748637721559,0.347,0.277,0,"VKORC1"
0,0.265719855174201,0.698,0.628,0,"COX6B1"
0,0.743873992137093,0.189,0.12,0,"TNFRSF11B"
0,0.316902778942078,0.506,0.437,0,"MRPL41"
0,0.506141877399609,0.353,0.284,0,"HIF1A"
0,0.295410161174935,0.398,0.329,0,"TMEM219"
0,0.291803133520237,0.535,0.466,0,"ATP5MC1"
0,0.352836213871875,0.3,0.231,0,"SSNA1"
0,0.571097225793323,0.24,0.171,0,"GET3"
0,0.322060826562494,0.35,0.281,0,"UBXN1"
0,0.274459914788754,0.598,0.529,0,"ATP5F1B"
0,0.338118504508465,0.412,0.343,0,"NDUFA12"
0,0.25808496670729,0.882,0.814,0,"FTH1"
0,0.252248462809554,0.756,0.688,0,"UBB"
0,0.582597544422379,0.259,0.191,0,"EIF3I"
0,0.252743038378739,0.49,0.422,0,"SPCS1"
0,0.413719471239751,0.373,0.305,0,"DANCR"
0,0.348173272240481,0.309,0.241,0,"DAP"
0,0.583757772573781,0.269,0.201,0,"CLDN4"
0,0.876079928458845,0.168,0.1,0,"TMEM139"
0,0.374191458389039,0.318,0.25,0,"CHCHD1"
0,0.292534555136403,0.384,0.316,0,"RNH1"
0,0.250182895472175,0.373,0.305,0,"CAT"
0,0.319109881935625,0.358,0.29,0,"CNPY2"
0,0.258369004359526,0.45,0.382,0,"MRPL57"
0,0.340853124610062,0.316,0.248,0,"PSME2"
0,0.338064500393353,0.376,0.308,0,"STUB1"
0,0.344487500021994,0.33,0.262,0,"HCFC1R1"
0,0.326436902215571,0.355,0.287,0,"MRPL54"
0,0.76448709335711,0.235,0.167,0,"TSPAN1"
0,0.709704185940103,0.204,0.136,0,"HIST1H2AC"
0,0.298219593744915,0.791,0.724,0,"PPIA"
